Ticker,ForeignNet
ITMA,-56800.0
ITMG,1151100.0
JARR,-31200.0
JAST,-3323700.0
JATI,2487100.0
JAWA,-13200.0
JAYA,-696300.0
JECC,0.0
JGLE,0.0
JIHD,-108100.0
JKON,623500.0
JMAS,42600.0
JPFA,1522500.0
JRPT,7500.0
JSKY,0.0
JSMR,-1289000.0
JSPT,0.0
JTPE,-12900.0
KAEF,0.0
KAQI,-18958200.0
KARW,0.0
KAYU,0.0
KBAG,0.0
KBLI,-700.0
KBLM,0.0
KBLV,-947400.0
KBRI,0.0
KDSI,0.0
KDTN,213700.0
KEEN,-361500.0
KEJU,-300.0
KETR,1832400.0
KIAS,0.0
KICI,-30300.0
KIJA,8526300.0
KING,140600.0
KINO,900.0
KIOS,-3104600.0
KJEN,186500.0
KKES,0.0
KKGI,-693100.0
KLAS,108800.0
KLBF,2076200.0
KLIN,-23200.0
KMDS,0.0
KMTR,0.0
KOBX,0.0
KOCI,1094000.0
KOIN,0.0
KOKA,3890400.0
KONI,0.0
KOPI,-100.0
KOTA,2963300.0
KPIG,-813600.0
KRAS,-1738800.0
KREN,0.0
KRYA,-23919200.0
KSIX,0.0
KUAS,-483800.0
LABA,-492800.0
LABS,63300.0
LAJU,-963700.0
LAND,350200.0
LAPD,-2504900.0
LCGP,0.0
LCKM,-59500.0
LEAD,3238700.0
LFLO,0.0
LIFE,-100.0
LINK,-600.0
LION,-12200.0
LIVE,-1067400.0
LMAS,0.0
LMAX,0.0
LMPI,0.0
LMSH,0.0
LOPI,-338700.0
LPCK,-278500.0
LPGI,0.0
LPIN,0.0
LPKR,4122600.0
LPLI,-25600.0
LPPF,-481500.0
LPPS,0.0
LRNA,-8900.0
LSIP,1538900.0
LTLS,0.0
LUCK,-3000.0
LUCY,2000000.0
MABA,0.0
MAGP,0.0
MAHA,78900.0
MAIN,-329200.0
MANG,0.0
MAPA,3821600.0
MAPB,-200.0
MAPI,-1745100.0
MARI,0.0
MARK,-86600.0
MASB,0.0
MAXI,0.0
MAYA,62500.0
MBAP,-500.0
MBMA,-61600100.0
MBSS,21100.0
MBTO,0.0
MCAS,200.0
MCOL,-1300.0
MCOR,-7346200.0
MDIA,309400.0
MDIY,441000.0
MDKA,4635800.0
MDKI,-37300.0
MDLA,-351700.0
MDLN,202700.0
MDRN,0.0
MEDC,5531200.0
MEDS,268200.0
MEGA,200.0
MEJA,-605600.0
MENN,0.0
MERI,-465100.0
MERK,0.0
META,0.0
MFMI,0.0
MGLV,-61700.0
MGNA,292000.0
MGRO,-50700.0
MHKI,-47900.0
MICE,0.0
MIDI,3698600.0
MIKA,-812700.0
MINA,-23700600.0
MINE,10800.0
MIRA,0.0
MITI,-260600.0
MKAP,-1500.0
MKNT,0.0
MKPI,-6000.0
MKTR,-11600.0
MLBI,143900.0
MLIA,120200.0
MLPL,432600.0
MLPT,-4500.0
MMIX,-31900.0
MMLP,553800.0
MNCN,734000.0
MOLI,11500.0
MORA,1900.0
MPIX,1586900.0
MPMX,-79800.0
MPOW,521300.0
MPPA,0.0
MPRO,0.0
MPXL,194400.0
MRAT,-2000.0
MREI,0.0
MSIE,0.0
MSIN,6780000.0
MSJA,-4496600.0
MSKY,102000.0
MSTI,-86100.0
MTDL,-158900.0
MTEL,-1711500.0
MTFN,0.0
MTLA,-300.0
MTMH,-100.0
MTPS,0.0
MTRA,0.0
MTSM,0.0
MTWI,1400.0
MUTU,-88300.0
MYOH,0.0
MYOR,-2271300.0
MYTX,0.0
NAIK,-1204800.0
NANO,-65500.0
NASA,0.0
NASI,-1900.0
NATO,-11400.0
NAYZ,115900.0
NCKL,9168500.0
NELY,-201900.0
NEST,-741900.0
NETV,-12796700.0
NFCX,0.0
NICE,-560400.0
NICK,-11300.0
NICL,-1536800.0
NIKL,-100.0
NINE,-1919000.0
NIRO,-500.0
NISP,654600.0
NOBU,-229500.0
NPGF,-4718400.0
NRCA,20800.0
NSSS,-15939200.0
NTBK,1601700.0
NUSA,0.0
NZIA,0.0
OASA,-2714100.0
OBAT,-6900.0
OBMD,519500.0
OCAP,0.0
OILS,-714400.0
OKAS,-64500.0
OLIV,1949800.0
OMED,-2093600.0
OMRE,0.0
OPMS,-96600.0
PACK,-156800.0
PADA,-1253900.0
PADI,-44752700.0
PALM,8600.0
PAMG,0.0
PANI,-983300.0
PANR,-54000.0
PANS,-5300.0
PART,-537600.0
PBID,-140200.0
PBRX,1500000.0
PBSA,90800.0
PCAR,0.0
PDES,0.0
PDPP,-25900.0
PEGE,-56100.0
PEHA,-13500.0
PEVE,100.0
PGAS,-2968600.0
PGEO,2385000.0
PGJO,-32400.0
PGLI,0.0
PGUN,-8800.0
PICO,-1000.0
PIPA,-2015800.0
PJAA,1200.0
PJHB,394000.0
PKPK,-131300.0
PLAN,0.0
