Ticker,Sector
PTBA.JK,Energy
PTIS.JK,Industrials
PTPP.JK,Industrials
PTRO.JK,Basic Materials
PTSN.JK,Technology
PTSP.JK,Consumer Cyclical
PUDP.JK,Real Estate
PWON.JK,Real Estate
PYFA.JK,Healthcare
RAJA.JK,Utilities
RALS.JK,Consumer Cyclical
RANC.JK,Consumer Defensive
RBMS.JK,Real Estate
RDTX.JK,Real Estate
RELI.JK,Financial Services
RICY.JK,Consumer Cyclical
RIGS.JK,Industrials
RIMO.JK,Unknown
RODA.JK,Real Estate
ROTI.JK,Consumer Defensive
RUIS.JK,Energy
SAFE.JK,Industrials
SAME.JK,Healthcare
SCCO.JK,Industrials
SCMA.JK,Communication Services
SCPI.JK,Unknown
SDMU.JK,Industrials
SDPC.JK,Healthcare
SDRA.JK,Financial Services
SGRO.JK,Consumer Defensive
SHID.JK,Consumer Cyclical
SIDO.JK,Healthcare
SILO.JK,Healthcare
SIMA.JK,Unknown
SIMP.JK,Consumer Defensive
SIPD.JK,Consumer Defensive
SKBM.JK,Consumer Defensive
SKLT.JK,Consumer Defensive
SKYB.JK,Unknown
SMAR.JK,Consumer Defensive
SMBR.JK,Basic Materials
SMCB.JK,Basic Materials
SMDM.JK,Real Estate
SMDR.JK,Industrials
SMGR.JK,Basic Materials
SMMA.JK,Financial Services
SMMT.JK,Energy
SMRA.JK,Real Estate
SMRU.JK,Unknown
SMSM.JK,Consumer Cyclical
SOCI.JK,Industrials
SONA.JK,Consumer Cyclical
SPMA.JK,Basic Materials
SQMI.JK,Basic Materials
SRAJ.JK,Healthcare
SRIL.JK,Unknown
SRSN.JK,Basic Materials
SRTG.JK,Financial Services
SSIA.JK,Industrials
SSMS.JK,Consumer Defensive
SSTM.JK,Consumer Cyclical
STAR.JK,Financial Services
STTP.JK,Consumer Defensive
SUGI.JK,Unknown
SULI.JK,Basic Materials
SUPR.JK,Real Estate
TALF.JK,Consumer Cyclical
TARA.JK,Real Estate
TAXI.JK,Industrials
TBIG.JK,Communication Services
TBLA.JK,Consumer Defensive
TBMS.JK,Industrials
TCID.JK,Consumer Defensive
TELE.JK,Communication Services
TFCO.JK,Consumer Cyclical
TGKA.JK,Consumer Defensive
TIFA.JK,Financial Services
TINS.JK,Basic Materials
TIRA.JK,Industrials
TIRT.JK,Basic Materials
TKIM.JK,Basic Materials
TLKM.JK,Communication Services
TMAS.JK,Industrials
TMPO.JK,Communication Services
TOBA.JK,Energy
TOTL.JK,Industrials
TOTO.JK,Industrials
TOWR.JK,Real Estate
TPIA.JK,Basic Materials
TPMA.JK,Industrials
TRAM.JK,Unknown
TRIL.JK,Unknown
TRIM.JK,Financial Services
TRIO.JK,Unknown
TRIS.JK,Consumer Cyclical
TRST.JK,Consumer Cyclical
TRUS.JK,Financial Services
TSPC.JK,Industrials
ULTJ.JK,Consumer Defensive
UNIC.JK,Basic Materials
UNIT.JK,Unknown
UNSP.JK,Consumer Defensive
UNTR.JK,Basic Materials
UNVR.JK,Consumer Defensive
VICO.JK,Financial Services
VINS.JK,Financial Services
VIVA.JK,Communication Services
VOKS.JK,Industrials
VRNA.JK,Financial Services
WAPO.JK,Consumer Defensive
WEHA.JK,Industrials
WICO.JK,Consumer Defensive
WIIM.JK,Consumer Defensive
WIKA.JK,Industrials
WINS.JK,Industrials
WOMF.JK,Financial Services
WSKT.JK,Unknown
WTON.JK,Basic Materials
YPAS.JK,Consumer Cyclical
YULE.JK,Financial Services
ZBRA.JK,Healthcare
SHIP.JK,Energy
CASA.JK,Financial Services
DAYA.JK,Consumer Cyclical
DPUM.JK,Consumer Defensive
IDPR.JK,Industrials
JGLE.JK,Consumer Cyclical
KINO.JK,Consumer Defensive
MARI.JK,Communication Services
MKNT.JK,Technology
MTRA.JK,Unknown
OASA.JK,Utilities
POWR.JK,Utilities
INCF.JK,Basic Materials
WSBP.JK,Basic Materials
PBSA.JK,Industrials
PRDA.JK,Healthcare
BOGA.JK,Consumer Cyclical
BRIS.JK,Financial Services
PORT.JK,Industrials
CARS.JK,Consumer Cyclical
MINA.JK,Consumer Cyclical
CLEO.JK,Consumer Defensive
TAMU.JK,Industrials
CSIS.JK,Real Estate
TGRA.JK,Utilities
FIRE.JK,Energy
TOPS.JK,Industrials
KMTR.JK,Consumer Cyclical
ARMY.JK,Unknown
MAPB.JK,Consumer Cyclical
WOOD.JK,Consumer Cyclical
HRTA.JK,Consumer Cyclical
MABA.JK,Unknown
HOKI.JK,Consumer Defensive
MPOW.JK,Utilities
MARK.JK,Healthcare
NASA.JK,Real Estate
MDKI.JK,Basic Materials
BELL.JK,Consumer Cyclical
KIOS.JK,Technology
GMFI.JK,Industrials
MTWI.JK,Financial Services
ZINC.JK,Basic Materials
MCAS.JK,Industrials
PPRE.JK,Industrials
WEGE.JK,Industrials
PSSI.JK,Industrials
MORA.JK,Communication Services
DWGL.JK,Energy
PBID.JK,Consumer Cyclical
JMAS.JK,Financial Services
CAMP.JK,Consumer Defensive
IPCM.JK,Industrials
PCAR.JK,Consumer Defensive
LCKM.JK,Communication Services
BOSS.JK,Unknown
HELI.JK,Industrials
JSKY.JK,Unknown
INPS.JK,Industrials
GHON.JK,Communication Services
TDPM.JK,Unknown
DFAM.JK,Real Estate
NICK.JK,Real Estate
BTPS.JK,Financial Services
SPTO.JK,Consumer Cyclical
PRIM.JK,Healthcare
HEAL.JK,Healthcare
TRUK.JK,Industrials
PZZA.JK,Consumer Cyclical
TUGU.JK,Financial Services
MSIN.JK,Communication Services
SWAT.JK,Consumer Cyclical
TNCA.JK,Industrials
MAPA.JK,Consumer Cyclical
TCPI.JK,Industrials
IPCC.JK,Industrials
RISE.JK,Real Estate
BPTR.JK,Industrials
POLL.JK,Real Estate
NFCX.JK,Communication Services
MGRO.JK,Consumer Defensive
NUSA.JK,Unknown
FILM.JK,Communication Services
ANDI.JK,Consumer Defensive
LAND.JK,Real Estate
MOLI.JK,Basic Materials
PANI.JK,Real Estate
DIGI.JK,Communication Services
CITY.JK,Real Estate
SAPX.JK,Industrials
SURE.JK,Energy
HKMU.JK,Unknown
MPRO.JK,Real Estate
DUCK.JK,Unknown
GOOD.JK,Consumer Defensive
SKRN.JK,Industrials
YELO.JK,Consumer Cyclical
CAKK.JK,Industrials
SATU.JK,Real Estate
SOSS.JK,Industrials
DEAL.JK,Unknown
POLA.JK,Financial Services
DIVA.JK,Technology
LUCK.JK,Technology
URBN.JK,Real Estate
SOTS.JK,Consumer Cyclical
ZONE.JK,Consumer Cyclical
PEHA.JK,Healthcare
FOOD.JK,Consumer Defensive
BEEF.JK,Consumer Defensive
POLI.JK,Real Estate
CLAY.JK,Consumer Cyclical
NATO.JK,Consumer Cyclical
JAYA.JK,Industrials
COCO.JK,Consumer Defensive
MTPS.JK,Industrials
CPRI.JK,Unknown
HRME.JK,Consumer Cyclical
POSA.JK,Unknown
JAST.JK,Communication Services
FITT.JK,Consumer Cyclical
BOLA.JK,Communication Services
CCSI.JK,Technology
SFAN.JK,Financial Services
POLU.JK,Consumer Cyclical
KJEN.JK,Industrials
KAYU.JK,Unknown
ITIC.JK,Consumer Defensive
PAMG.JK,Real Estate
IPTV.JK,Communication Services
BLUE.JK,Technology
ENVY.JK,Unknown
EAST.JK,Consumer Cyclical
LIFE.JK,Financial Services
FUJI.JK,Financial Services
KOTA.JK,Real Estate
INOV.JK,Industrials
ARKA.JK,Industrials
SMKL.JK,Consumer Cyclical
HDIT.JK,Technology
KEEN.JK,Utilities
BAPI.JK,Real Estate
TFAS.JK,Industrials
GGRP.JK,Basic Materials
OPMS.JK,Industrials
NZIA.JK,Real Estate
SLIS.JK,Technology
PURE.JK,Unknown
IRRA.JK,Healthcare
DMMX.JK,Communication Services
SINI.JK,Basic Materials
WOWS.JK,Energy
ESIP.JK,Consumer Cyclical
TEBE.JK,Industrials
KEJU.JK,Consumer Defensive
PSGO.JK,Consumer Defensive
AGAR.JK,Consumer Defensive
IFSH.JK,Basic Materials
REAL.JK,Real Estate
